OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
623,1970/01/01 00:00:00+00,NA,NA,NA,NA
624,1970/01/01 00:00:00+00,NA,NA,NA,NA
625,1970/01/01 00:00:00+00,NA,NA,NA,NA
626,1970/01/01 00:00:00+00,NA,NA,NA,NA
627,1970/01/01 00:00:00+00,NA,NA,NA,NA
628,1970/01/01 00:00:00+00,NA,NA,NA,NA
629,1970/01/01 00:00:00+00,NA,NA,NA,NA
630,1970/01/01 00:00:00+00,NA,NA,NA,NA
631,1970/01/01 00:00:00+00,NA,NA,NA,NA
632,1970/01/01 00:00:00+00,NA,NA,NA,NA
633,1970/01/01 00:00:00+00,NA,NA,NA,NA
634,1970/01/01 00:00:00+00,NA,NA,NA,NA
635,1970/01/01 00:00:00+00,NA,NA,NA,NA
640,1970/01/01 00:00:00+00,NA,NA,NA,NA
641,1970/01/01 00:00:00+00,NA,NA,NA,NA
642,1970/01/01 00:00:00+00,NA,NA,NA,NA
643,1970/01/01 00:00:00+00,NA,NA,NA,NA
644,1970/01/01 00:00:00+00,NA,NA,NA,NA
647,1970/01/01 00:00:00+00,NA,NA,NA,NA
652,1970/01/01 00:00:00+00,NA,NA,NA,NA
653,1970/01/01 00:00:00+00,NA,NA,NA,NA
656,1970/01/01 00:00:00+00,NA,NA,NA,NA
657,1970/01/01 00:00:00+00,NA,NA,NA,NA
658,1970/01/01 00:00:00+00,NA,NA,NA,NA
659,1970/01/01 00:00:00+00,NA,NA,NA,NA
660,1970/01/01 00:00:00+00,NA,NA,NA,NA
661,1970/01/01 00:00:00+00,NA,NA,NA,NA
662,1970/01/01 00:00:00+00,NA,NA,NA,NA
663,1970/01/01 00:00:00+00,NA,NA,NA,NA
664,1970/01/01 00:00:00+00,NA,NA,NA,NA
665,1970/01/01 00:00:00+00,NA,NA,NA,NA
670,1970/01/01 00:00:00+00,NA,NA,NA,NA
671,1970/01/01 00:00:00+00,NA,NA,NA,NA
672,1970/01/01 00:00:00+00,NA,NA,NA,NA
673,1970/01/01 00:00:00+00,NA,NA,NA,NA
674,1970/01/01 00:00:00+00,NA,NA,NA,NA
675,1970/01/01 00:00:00+00,NA,NA,NA,NA
676,1970/01/01 00:00:00+00,NA,NA,NA,NA
677,1970/01/01 00:00:00+00,NA,NA,NA,NA
678,1970/01/01 00:00:00+00,NA,NA,NA,NA
